"http://www.okkam.org/oaie/restaurant1-Address81","","","http://www.okkam.org/oaie/restaurant1-City81","","","2290 peachtree rd.  peachtree square shopping center","http://www.okkam.org/ontology_restaurant1.owl#Address"
"http://www.okkam.org/oaie/restaurant1-City55","","","","new york","","","http://www.okkam.org/ontology_restaurant1.owl#City"
"http://www.okkam.org/oaie/restaurant1-Restaurant16","californian","http://www.okkam.org/oaie/restaurant1-Address16","","patina","213/467-1108","","http://www.okkam.org/ontology_restaurant1.owl#Restaurant"
"http://www.okkam.org/oaie/restaurant1-Address109","","","http://www.okkam.org/oaie/restaurant1-City109","","","545 post st.","http://www.okkam.org/ontology_restaurant1.owl#Address"
"http://www.okkam.org/oaie/restaurant1-Address12","","","http://www.okkam.org/oaie/restaurant1-City12","","","8284 melrose ave.","http://www.okkam.org/ontology_restaurant1.owl#Address"
"http://www.okkam.org/oaie/restaurant1-City2","","","","bel air","","","http://www.okkam.org/ontology_restaurant1.owl#City"
"http://www.okkam.org/oaie/restaurant1-City41","","","","new york","","","http://www.okkam.org/ontology_restaurant1.owl#City"
"http://www.okkam.org/oaie/restaurant1-City15","","","","los angeles","","","http://www.okkam.org/ontology_restaurant1.owl#City"
"http://www.okkam.org/oaie/restaurant1-Address8","","","http://www.okkam.org/oaie/restaurant1-City8","","","23725 w. malibu rd.","http://www.okkam.org/ontology_restaurant1.owl#Address"
"http://www.okkam.org/oaie/restaurant1-City95","","","","san francisco","","","http://www.okkam.org/ontology_restaurant1.owl#City"
"http://www.okkam.org/oaie/restaurant1-Restaurant95","seafood","http://www.okkam.org/oaie/restaurant1-Address95","","aqua","415/956-9662","","http://www.okkam.org/ontology_restaurant1.owl#Restaurant"
"http://www.okkam.org/oaie/restaurant1-Restaurant56","american","http://www.okkam.org/oaie/restaurant1-Address56","","river cafe","718/522-5200","","http://www.okkam.org/ontology_restaurant1.owl#Restaurant"
"http://www.okkam.org/oaie/restaurant1-Restaurant101","french","http://www.okkam.org/oaie/restaurant1-Address101","","fringale","415/543-0573","","http://www.okkam.org/ontology_restaurant1.owl#Restaurant"
"http://www.okkam.org/oaie/restaurant1-Restaurant26","coffee bar","http://www.okkam.org/oaie/restaurant1-Address26","","cafe lalo","212/496-6031","","http://www.okkam.org/ontology_restaurant1.owl#Restaurant"
"http://www.okkam.org/oaie/restaurant1-City81","","","","atlanta","","","http://www.okkam.org/ontology_restaurant1.owl#City"
"http://www.okkam.org/oaie/restaurant1-Restaurant76","american","http://www.okkam.org/oaie/restaurant1-Address76","","bone's","404/237-2663","","http://www.okkam.org/ontology_restaurant1.owl#Restaurant"
"http://www.okkam.org/oaie/restaurant1-City103","","","","san francisco","","","http://www.okkam.org/ontology_restaurant1.owl#City"
"http://www.okkam.org/oaie/restaurant1-Restaurant66","american","http://www.okkam.org/oaie/restaurant1-Address66","","virgil's","212/ 921-9494","","http://www.okkam.org/ontology_restaurant1.owl#Restaurant"
"http://www.okkam.org/oaie/restaurant1-Address61","","","http://www.okkam.org/oaie/restaurant1-City61","","","1110 3rd ave. at 65th st.","http://www.okkam.org/ontology_restaurant1.owl#Address"
